train/learning_rate,time/time_elapsed,train/policy_loss,train/entropy_loss,rollout/ep_len_mean,time/total_timesteps,train/value_loss,train/explained_variance,rollout/ep_rew_mean,train/n_updates,time/iterations,time/fps
0.0001,10,9876.2587890625,-16.008434295654297,95.0,990,387672.96875,0.0,2105.6526819,3898,99,98
0.0001,19,1119.235107421875,-15.882593154907227,95.0,1980,7444.99755859375,0.0,2122.85389295,3997,198,103
0.0001,28,-18.712841033935547,-16.097898483276367,95.0,2970,17.091211318969727,-1.0132789611816406e-05,2110.918275354839,4096,297,105
0.0001,36,-1502.345703125,-15.835413932800293,95.0,3960,10266.375,1.7881393432617188e-07,2110.6752294390244,4195,396,107
0.0001,45,-304.37554931640625,-15.80675983428955,95.0,4950,483.06182861328125,-8.344650268554688e-07,2115.4076639038462,4294,495,108
0.0001,55,4900.6611328125,-15.938451766967773,95.0,5940,122500.4765625,5.960464477539063e-08,2109.7083263709674,4393,594,107
0.0001,64,2809.54931640625,-15.868597030639648,95.0,6930,36627.5546875,1.7881393432617188e-07,2116.1705292083334,4492,693,106
0.0001,73,13.96173095703125,-16.091960906982422,95.0,7920,9.334498405456543,-8.225440979003906e-06,2119.2561358192775,4591,792,107
0.0001,82,1388.8193359375,-15.959129333496094,95.0,8910,15017.962890625,-1.1920928955078125e-07,2118.449369731183,4690,891,107
0.0001,9,9862.7763671875,-16.012943267822266,95.0,990,388128.875,0.0,2126.9915447999997,4848,99,102
0.0001,18,1090.0272216796875,-15.854120254516602,95.0,1980,7395.03759765625,-1.1920928955078125e-07,2127.3796282499998,4947,198,105
0.0001,27,-29.133487701416016,-16.1004581451416,95.0,2970,19.288238525390625,-8.58306884765625e-06,2131.3959784516132,5046,297,107
0.0001,36,-234.66513061523438,-15.805898666381836,95.0,3960,1542.617431640625,-1.1920928955078125e-07,2134.97299702439,5145,396,108
0.0001,45,-382.11907958984375,-15.788095474243164,95.0,4950,677.6146240234375,-5.960464477539062e-07,2136.8466557884617,5244,495,109
0.0001,53,5037.31298828125,-15.740257263183594,95.0,5940,121444.921875,-1.1920928955078125e-07,2133.5290605806454,5343,594,110
0.0001,63,2640.72119140625,-15.708142280578613,95.0,6930,36593.67578125,1.7881393432617188e-07,2133.929899777778,5442,693,109
0.0001,72,-2.1015992164611816,-15.919537544250488,95.0,7920,7.179666996002197,-9.775161743164062e-06,2135.2275616385537,5541,792,109
0.0001,81,1405.99072265625,-15.743066787719727,95.0,8910,14857.203125,5.960464477539063e-08,2140.994556505376,5640,891,109
0.0001,8,9900.8935546875,-15.884137153625488,95.0,990,387895.9375,0.0,2171.6006386,5798,99,115
0.0001,17,1059.11083984375,-15.768180847167969,95.0,1980,7367.3125,0.0,2168.94994675,5897,198,112
0.0001,27,-29.87296485900879,-16.11450958251953,95.0,2970,18.02493667602539,-6.67572021484375e-06,2176.0495434516133,5996,297,106
0.0001,38,107.62953186035156,-15.777328491210938,95.0,3960,1154.8358154296875,1.1920928955078125e-07,2177.2264757560974,6095,396,103
0.0001,48,-453.7420959472656,-15.82983684539795,95.0,4950,919.0509643554688,-7.152557373046875e-07,2171.7983136538464,6194,495,102
0.0001,59,4727.3427734375,-15.930671691894531,95.0,5940,121713.7734375,-1.1920928955078125e-07,2173.2562726451606,6293,594,100
0.0001,68,2665.51123046875,-15.738744735717773,95.0,6930,36634.4765625,1.7881393432617188e-07,2180.372809416667,6392,693,101
0.0001,76,1.4001611471176147,-16.052522659301758,95.0,7920,6.439100742340088,-6.079673767089844e-06,2180.1216914698794,6491,792,103
0.0001,85,1395.085205078125,-15.702972412109375,95.0,8910,14770.6201171875,0.0,2180.7723290860217,6590,891,104
0.0001,9,9751.3828125,-15.93494701385498,95.0,990,386488.90625,-1.1920928955078125e-07,2162.7636697,6748,99,106
0.0001,18,1033.8260498046875,-15.523780822753906,95.0,1980,7125.06884765625,1.1920928955078125e-07,2171.2221289500003,6847,198,104
0.0001,27,-27.173492431640625,-16.040523529052734,95.0,2970,16.36925506591797,-6.67572021484375e-06,2171.355500709677,6946,297,107
0.0001,36,-779.0447998046875,-15.5048189163208,95.0,3960,3859.556640625,0.0,2176.595201731707,7045,396,108
0.0001,46,-524.5501098632812,-15.514643669128418,95.0,4950,1160.9163818359375,-4.76837158203125e-07,2178.6296503461535,7144,495,107
0.0001,56,4664.7802734375,-15.591598510742188,95.0,5940,121515.328125,0.0,2181.837295951613,7243,594,105
0.0001,66,2779.84423828125,-15.205777168273926,95.0,6930,36618.6171875,5.960464477539063e-08,2181.5908929027773,7342,693,103
0.0001,78,4.456686973571777,-15.948806762695312,95.0,7920,7.611183166503906,-3.337860107421875e-06,2184.6457600722892,7441,792,101
0.0001,90,1418.9361572265625,-15.434837341308594,95.0,8910,14801.767578125,-1.1920928955078125e-07,2187.3800186344088,7540,891,98
0.0001,12,9650.6767578125,-15.656242370605469,95.0,990,386638.375,0.0,2178.6973248999993,7698,99,80
0.0001,23,1030.341796875,-15.148175239562988,95.0,1980,7373.28515625,0.0,2171.66772585,7797,198,83
0.0001,35,-31.883975982666016,-16.05710792541504,95.0,2970,17.265363693237305,-4.887580871582031e-06,2176.75573983871,7896,297,83
0.0001,47,-759.6966552734375,-15.036041259765625,95.0,3960,3193.793212890625,-2.384185791015625e-07,2183.7757534878046,7995,396,83
0.0001,58,-566.4736938476562,-15.047076225280762,95.0,4950,1447.0853271484375,-3.5762786865234375e-07,2186.6255750769233,8094,495,84
0.0001,70,4618.5673828125,-15.206393241882324,95.0,5940,120984.2265625,0.0,2190.111232919355,8193,594,84
0.0001,81,2727.04638671875,-15.09942626953125,95.0,6930,36872.875,1.7881393432617188e-07,2189.8219600416664,8292,693,85
0.0001,92,-16.482852935791016,-15.7390718460083,95.0,7920,7.1301984786987305,-4.410743713378906e-06,2190.535717891566,8391,792,85
0.0001,103,1361.9327392578125,-15.252347946166992,95.0,8910,14781.2236328125,-1.1920928955078125e-07,2186.121254741936,8490,891,85
0.0001,10,10133.921875,-15.724691390991211,95.0,990,387025.25,0.0,2200.1619838,8648,99,90
0.0001,22,1023.4923706054688,-15.255009651184082,95.0,1980,7172.97802734375,-1.1920928955078125e-07,2190.5360331499996,8747,198,88
0.0001,33,-39.14319610595703,-16.345722198486328,95.0,2970,19.602914810180664,-2.7418136596679688e-06,2196.7199424838714,8846,297,88
0.0001,43,-4.398093223571777,-15.501803398132324,95.0,3960,610.0508422851562,1.7881393432617188e-07,2196.344488658536,8945,396,90
0.0001,54,-653.3719482421875,-15.556402206420898,95.0,4950,1769.712158203125,-5.960464477539062e-07,2201.769247903846,9044,495,90
0.0001,65,4991.18896484375,-15.798294067382812,95.0,5940,120916.0625,-1.1920928955078125e-07,2207.0408399838716,9143,594,90
0.0001,76,2498.99072265625,-15.237635612487793,95.0,6930,36483.6640625,0.0,2206.583561694444,9242,693,90
0.0001,88,-6.028989315032959,-16.168758392333984,95.0,7920,6.299300193786621,-2.6226043701171875e-06,2206.054508674699,9341,792,89
0.0001,99,1325.5999755859375,-15.389358520507812,95.0,8910,14662.9765625,0.0,2202.5507132043012,9440,891,89
0.0001,11,9601.455078125,-16.049861907958984,95.0,990,385480.90625,0.0,2221.3311807,9598,99,89
0.0001,21,1088.15771484375,-15.059976577758789,95.0,1980,7308.4609375,0.0,2215.035425,9697,198,92
0.0001,31,-31.954147338867188,-16.308984756469727,95.0,2970,17.189167022705078,-3.933906555175781e-06,2219.511243354839,9796,297,93
0.0001,42,607.3551635742188,-15.090087890625,95.0,3960,3033.365966796875,-1.1920928955078125e-07,2218.8407562926827,9895,396,92
0.0001,52,-711.8031005859375,-15.259442329406738,95.0,4950,2153.657958984375,0.0,2220.928888576923,9994,495,94
0.0001,62,5000.73388671875,-15.8034086227417,95.0,5940,120529.0625,0.0,2218.275980467742,10093,594,95
0.0001,71,2619.59033203125,-15.258784294128418,95.0,6930,36235.67578125,0.0,2213.5710551527777,10192,693,96
0.0001,81,-17.99302864074707,-16.24909782409668,95.0,7920,6.182455539703369,-3.933906555175781e-06,2216.781445542169,10291,792,97
0.0001,91,1272.996337890625,-14.72704792022705,95.0,8910,14652.857421875,-1.1920928955078125e-07,2218.8321271290324,10390,891,97
0.0001,9,9436.904296875,-15.898872375488281,95.0,990,385235.6875,1.7881393432617188e-07,2237.0984556000003,10548,99,106
0.0001,18,1005.2855224609375,-14.619644165039062,95.0,1980,7204.3212890625,0.0,2222.4534536500005,10647,198,107
0.0001,27,-50.02092742919922,-16.416385650634766,95.0,2970,22.82260513305664,-3.0994415283203125e-06,2227.2398853548384,10746,297,107
0.0001,37,509.8218688964844,-14.624529838562012,95.0,3960,2194.666259765625,0.0,2230.3287796097557,10845,396,106
0.0001,46,-720.7047119140625,-14.612337112426758,95.0,4950,2485.19140625,-1.1920928955078125e-07,2232.192868019231,10944,495,106
0.0001,55,4511.7265625,-15.418413162231445,95.0,5940,120402.4375,-1.1920928955078125e-07,2231.920480096774,11043,594,106
0.0001,65,2636.30029296875,-14.61418342590332,95.0,6930,36352.6015625,0.0,2233.3993485555557,11142,693,106
0.0001,74,-21.548866271972656,-16.146228790283203,95.0,7920,7.908808708190918,-1.6689300537109375e-06,2230.5617767951803,11241,792,106
0.0001,84,1144.8267822265625,-14.342306137084961,95.0,8910,14666.298828125,-1.1920928955078125e-07,2231.882210172043,11340,891,105
0.0001,9,9557.0263671875,-15.126347541809082,95.0,990,385486.6875,1.1920928955078125e-07,2197.8864943999997,11498,99,107
0.0001,19,856.5178833007812,-13.914227485656738,95.0,1980,7199.7421875,1.7881393432617188e-07,2176.0386774999997,11597,198,102
0.0001,29,-43.170021057128906,-16.39729118347168,95.0,2970,19.117786407470703,-2.86102294921875e-06,2185.7569309677424,11696,297,101
0.0001,39,191.1036834716797,-14.160123825073242,95.0,3960,1999.692138671875,1.1920928955078125e-07,2197.1971594390247,11795,396,101
0.0001,49,-655.9286499023438,-13.645034790039062,95.0,4950,2864.46728515625,0.0,2203.4965071153842,11894,495,99
0.0001,59,4172.5498046875,-14.142379760742188,95.0,5940,119905.6484375,-1.1920928955078125e-07,2194.724966209677,11993,594,99
0.0001,69,2278.56103515625,-13.416175842285156,95.0,6930,36464.07421875,0.0,2197.839099236111,12092,693,100
0.0001,78,-26.09122657775879,-15.597930908203125,95.0,7920,7.565135955810547,-2.384185791015625e-06,2196.385831614458,12191,792,101
0.0001,87,1282.3944091796875,-13.711919784545898,95.0,8910,11173.3955078125,0.0,2201.4037414623654,12290,891,101
0.0001,9,8856.9111328125,-15.089195251464844,95.0,990,384647.09375,0.0,2244.1665276,12448,99,102
0.0001,19,997.1502075195312,-13.813478469848633,95.0,1980,7125.2158203125,0.0,2234.1922211499996,12547,198,102
0.0001,28,-51.09626770019531,-16.42752456665039,95.0,2970,22.201122283935547,-2.7418136596679688e-06,2241.9994148064516,12646,297,103
0.0001,37,209.208740234375,-14.456303596496582,95.0,3960,2018.530029296875,0.0,2241.8585241707315,12745,396,105
0.0001,47,-777.1918334960938,-13.8343505859375,95.0,4950,3266.574951171875,2.384185791015625e-07,2245.251748423077,12844,495,105
0.0001,56,4482.73681640625,-14.876653671264648,95.0,5940,120120.8125,0.0,2245.9514927258065,12943,594,105
0.0001,65,2319.2734375,-13.788655281066895,95.0,6930,36277.9453125,5.960464477539063e-08,2245.304680597222,13042,693,105
0.0001,74,-29.317707061767578,-15.717569351196289,95.0,7920,9.47654914855957,-2.0265579223632812e-06,2240.808628710843,13141,792,106
0.0001,84,1127.908203125,-13.585138320922852,95.0,8910,14693.638671875,0.0,2238.990376741935,13240,891,106
0.0001,9,9293.9619140625,-15.028735160827637,95.0,990,384959.84375,1.1920928955078125e-07,2235.348838,13398,99,106
0.0001,18,871.1414794921875,-13.071001052856445,95.0,1980,7108.5712890625,-1.1920928955078125e-07,2193.99873485,13497,198,108
0.0001,27,-51.9068603515625,-16.2159481048584,95.0,2970,24.023914337158203,-2.0265579223632812e-06,2176.9405463225808,13596,297,108
0.0001,36,-956.5364990234375,-13.148344039916992,95.0,3960,5795.54345703125,0.0,2181.2880589512197,13695,396,109
0.0001,45,-733.0183715820312,-13.36548900604248,95.0,4950,3678.42333984375,0.0,2166.4962469999996,13794,495,109
0.0001,54,4419.6279296875,-14.011738777160645,95.0,5940,119776.25,-1.1920928955078125e-07,2167.0373028225813,13893,594,109
0.0001,63,2351.61474609375,-13.319043159484863,95.0,6930,36291.60546875,5.960464477539063e-08,2171.470380291667,13992,693,109
0.0001,72,-24.748849868774414,-15.748052597045898,95.0,7920,7.837439060211182,-7.152557373046875e-07,2173.077401626506,14091,792,109
0.0001,82,1178.815673828125,-13.209123611450195,95.0,8910,13679.951171875,0.0,2177.965455526882,14190,891,108
0.0001,9,8483.111328125,-14.299680709838867,95.0,990,384012.9375,1.1920928955078125e-07,2217.3134027,14348,99,104
0.0001,18,833.4019775390625,-12.917028427124023,95.0,1980,7111.0048828125,-1.1920928955078125e-07,2169.36106515,14447,198,105
0.0001,27,-61.58695602416992,-16.082372665405273,95.0,2970,27.500537872314453,-1.7881393432617188e-06,2156.8916864193548,14546,297,106
0.0001,37,317.19305419921875,-13.225103378295898,95.0,3960,2410.557861328125,0.0,2165.8945921951217,14645,396,106
0.0001,46,-833.32373046875,-13.032862663269043,95.0,4950,4116.6416015625,0.0,2171.59257325,14744,495,106
0.0001,55,3929.014892578125,-13.551065444946289,95.0,5940,119397.3359375,0.0,2180.4455768225803,14843,594,107
0.0001,64,2238.91943359375,-12.971506118774414,95.0,6930,36361.61328125,0.0,2176.113288527778,14942,693,107
0.0001,73,-26.655170440673828,-15.629406929016113,95.0,7920,8.334702491760254,1.7881393432617188e-07,2181.044432674699,15041,792,107
0.0001,81,1068.003173828125,-12.8832426071167,95.0,8910,14510.84375,0.0,2179.8531491075273,15140,891,108
0.0001,8,9850.8115234375,-15.028274536132812,95.0,990,384473.1875,0.0,2213.0887336,15298,99,111
0.0001,18,777.5442504882812,-12.833257675170898,95.0,1980,7013.82666015625,-2.384185791015625e-07,2199.1381410500003,15397,198,109
0.0001,27,-69.1675796508789,-16.23023223876953,95.0,2970,30.98696517944336,-1.5497207641601562e-06,2201.6922048709675,15496,297,108
0.0001,36,415.05718994140625,-13.541544914245605,95.0,3960,2700.81640625,0.0,2212.4114609756093,15595,396,109
0.0001,45,-813.7203369140625,-13.158561706542969,95.0,4950,4562.33056640625,0.0,2225.062622576923,15694,495,109
0.0001,55,4609.44384765625,-15.276636123657227,95.0,5940,119369.0625,-1.1920928955078125e-07,2228.864606612903,15793,594,106
0.0001,64,2268.64453125,-13.1543607711792,95.0,6930,35800.69140625,5.960464477539063e-08,2233.984115,15892,693,106
0.0001,74,-27.035961151123047,-16.343231201171875,95.0,7920,8.402502059936523,4.172325134277344e-07,2238.796067072289,15991,792,106
0.0001,83,1164.9521484375,-13.278501510620117,95.0,8910,14298.173828125,-1.1920928955078125e-07,2240.586946645161,16090,891,107
0.0001,9,9974.9921875,-16.301603317260742,95.0,990,384443.9375,1.1920928955078125e-07,2254.6524516,16248,99,109
0.0001,18,810.5838012695312,-13.371296882629395,95.0,1980,6704.4208984375,0.0,2259.8100069,16347,198,108
0.0001,27,-50.504920959472656,-16.23203468322754,95.0,2970,22.184185028076172,-9.5367431640625e-07,2261.9234962258065,16446,297,106
0.0001,37,393.1778259277344,-14.105868339538574,95.0,3960,1964.603759765625,0.0,2263.687777292683,16545,396,106
0.0001,46,-940.0900268554688,-13.668907165527344,95.0,4950,5233.2021484375,-4.76837158203125e-07,2260.9276831730767,16644,495,107
0.0001,55,4999.92138671875,-15.936213493347168,95.0,5940,120265.3125,-1.1920928955078125e-07,2259.4151182419355,16743,594,107
0.0001,64,2185.07763671875,-13.393608093261719,95.0,6930,35597.69140625,0.0,2257.6639835416663,16842,693,107
0.0001,73,-31.268115997314453,-16.25758934020996,95.0,7920,9.126914978027344,-9.5367431640625e-07,2255.8798493855425,16941,792,107
0.0001,83,1236.2686767578125,-14.369418144226074,95.0,8910,13957.357421875,-1.1920928955078125e-07,2253.397886021505,17040,891,107
0.0001,8,9882.669921875,-16.217222213745117,95.0,990,384704.53125,-1.1920928955078125e-07,2265.1088519,17198,99,112
0.0001,17,790.5870971679688,-14.024324417114258,95.0,1980,6479.9638671875,0.0,2255.5167003500005,17297,198,113
0.0001,26,-38.4632453918457,-15.686193466186523,95.0,2970,20.039323806762695,-1.1920928955078125e-06,2254.082053935484,17396,297,111
0.0001,35,-24.611248016357422,-14.998446464538574,95.0,3960,593.075439453125,0.0,2251.6927225121954,17495,396,110
0.0001,44,-1043.3228759765625,-13.57280445098877,95.0,4950,5840.7158203125,-8.344650268554688e-07,2246.6426424615383,17594,495,111
0.0001,53,5105.7158203125,-16.01787757873535,95.0,5940,119679.796875,0.0,2245.96325783871,17693,594,111
0.0001,62,2294.8896484375,-13.891639709472656,95.0,6930,34570.6015625,0.0,2243.2368383194444,17792,693,111
0.0001,70,-29.100210189819336,-16.29703712463379,95.0,7920,8.681766510009766,-2.1457672119140625e-06,2243.9804804457835,17891,792,111
0.0001,79,1121.659423828125,-13.459561347961426,95.0,8910,13868.8720703125,0.0,2245.268992096774,17990,891,111
0.0001,9,9641.767578125,-15.290185928344727,95.0,990,384540.0,0.0,2254.0081533,18148,99,109
0.0001,17,821.0045166015625,-12.608389854431152,95.0,1980,6914.67431640625,0.0,2249.7805565,18247,198,111
0.0001,26,-45.272010803222656,-16.272085189819336,95.0,2970,21.541034698486328,-1.9073486328125e-06,2247.8395648064516,18346,297,110
0.0001,35,564.1441650390625,-13.162325859069824,95.0,3960,3846.18359375,0.0,2253.9486283658534,18445,396,110
0.0001,44,-1081.882080078125,-12.916418075561523,95.0,4950,6342.56005859375,-2.384185791015625e-07,2256.338339134615,18544,495,110
0.0001,53,5013.47705078125,-16.079708099365234,95.0,5940,119841.6640625,-1.1920928955078125e-07,2257.3311665806445,18643,594,111
0.0001,62,2185.0166015625,-13.021499633789062,95.0,6930,35450.6953125,0.0,2258.045435041667,18742,693,110
0.0001,70,-33.18524932861328,-16.270092010498047,95.0,7920,9.404447555541992,3.5762786865234375e-07,2258.9942023373487,18841,792,111
0.0001,79,1162.388671875,-14.079716682434082,95.0,8910,13861.830078125,-1.1920928955078125e-07,2257.5421779569892,18940,891,111
0.0001,8,9748.58203125,-16.246654510498047,95.0,990,384909.78125,2.980232238769531e-07,2266.3950688,19098,99,111
0.0001,18,857.8511962890625,-13.39923095703125,95.0,1980,6471.478515625,-2.384185791015625e-07,2263.38405295,19197,198,106
0.0001,27,-53.19702911376953,-15.832130432128906,95.0,2970,23.281147003173828,-1.6689300537109375e-06,2256.524195193548,19296,297,107
0.0001,36,651.8278198242188,-14.644124031066895,95.0,3960,3836.016357421875,1.1920928955078125e-07,2258.2678154390246,19395,396,107
0.0001,45,-1021.8493041992188,-12.883931159973145,95.0,4950,6847.04541015625,1.1920928955078125e-07,2259.4173921153842,19494,495,108
0.0001,54,4990.337890625,-15.681037902832031,95.0,5940,119679.0859375,1.7881393432617188e-07,2258.8672662419353,19593,594,109
0.0001,63,2325.361328125,-13.281254768371582,95.0,6930,34871.38671875,0.0,2257.2291474583335,19692,693,109
0.0001,72,-33.698890686035156,-16.271526336669922,95.0,7920,9.735655784606934,-3.2186508178710938e-06,2257.572208915662,19791,792,109
0.0001,81,1251.906494140625,-14.391347885131836,95.0,8910,13995.7529296875,0.0,2256.4883148817207,19890,891,109
0.0001,8,9528.3359375,-15.801190376281738,95.0,990,384558.71875,1.7881393432617188e-07,2172.7255136,20048,99,112
0.0001,17,944.3365478515625,-15.458027839660645,95.0,1980,6483.9169921875,0.0,2162.5059742999997,20147,198,110
0.0001,26,-52.91437530517578,-15.519296646118164,95.0,2970,24.151424407958984,-1.1920928955078125e-06,2184.9236753548385,20246,297,110
0.0001,35,-1389.292724609375,-16.02225685119629,95.0,3960,8514.740234375,5.960464477539063e-08,2191.3766253170734,20345,396,110
0.0001,44,-1143.5987548828125,-13.539262771606445,95.0,4950,7645.8779296875,-2.384185791015625e-07,2198.093294442307,20444,495,111
0.0001,52,4797.5830078125,-16.13314437866211,95.0,5940,120143.1484375,0.0,2202.769997451613,20543,594,112
0.0001,61,2353.912109375,-13.775324821472168,95.0,6930,34926.1640625,-1.1920928955078125e-07,2205.937757388889,20642,693,112
0.0001,70,-36.231163024902344,-15.874974250793457,95.0,7920,10.702973365783691,-8.344650268554688e-07,2209.0188070843374,20741,792,112
0.0001,79,1220.29248046875,-14.164024353027344,95.0,8910,13743.265625,0.0,2214.30501483871,20840,891,112
0.0001,8,9577.689453125,-15.686515808105469,95.0,990,384614.9375,-2.384185791015625e-07,2184.6117573,20998,99,111
0.0001,17,970.3638916015625,-14.959628105163574,95.0,1980,6554.79833984375,0.0,2193.1593062499996,21097,198,111
0.0001,26,-63.87492752075195,-15.384076118469238,95.0,2970,26.30255126953125,-1.6689300537109375e-06,2205.3513277741936,21196,297,112
0.0001,35,486.5967712402344,-15.258811950683594,95.0,3960,2599.98388671875,0.0,2212.771340195122,21295,396,112
0.0001,43,-1307.6163330078125,-13.797006607055664,95.0,4950,8333.8798828125,0.0,2215.6349905192305,21394,495,113
0.0001,52,4805.5693359375,-16.082271575927734,95.0,5940,120095.640625,-1.1920928955078125e-07,2217.7045351612906,21493,594,113
0.0001,61,2598.543212890625,-14.925241470336914,95.0,6930,34122.22265625,0.0,2218.9806792916665,21592,693,113
0.0001,69,-27.789196014404297,-15.41283130645752,95.0,7920,8.660356521606445,1.1920928955078125e-07,2219.0406669879517,21691,792,113
0.0001,78,1416.301513671875,-15.338287353515625,95.0,8910,13953.888671875,-1.1920928955078125e-07,2222.5347838387097,21790,891,114
0.0001,9,9796.474609375,-15.944038391113281,95.0,990,384283.0,1.1920928955078125e-07,2234.8536219000002,21948,99,106
0.0001,18,982.5460815429688,-15.187408447265625,95.0,1980,6452.0400390625,0.0,2235.9161112,22047,198,107
0.0001,28,-51.553733825683594,-15.101419448852539,95.0,2970,23.862361907958984,-1.3113021850585938e-06,2238.642667032258,22146,297,105
0.0001,37,515.162109375,-15.561442375183105,95.0,3960,2539.27880859375,0.0,2236.189948731708,22245,396,105
0.0001,46,-1244.1728515625,-13.665722846984863,95.0,4950,9067.2548828125,-4.76837158203125e-07,2233.199819365385,22344,495,106
0.0001,55,4839.736328125,-16.061134338378906,95.0,5940,119503.3359375,0.0,2224.942935080646,22443,594,106
0.0001,64,2521.85791015625,-14.45606803894043,95.0,6930,34499.421875,5.960464477539063e-08,2225.211673902778,22542,693,107
0.0001,74,-34.76591491699219,-15.539118766784668,95.0,7920,10.02446174621582,-2.1457672119140625e-06,2225.239565385542,22641,792,106
